id,price
5,3.9
40,3.9
55,9.21
58,9.21
93,9.21
133,3.6
138,3.6
165,3.6
172,3.6
177,3.6
182,3.6
183,3.6
185,3.6
187,3.9
214,3.9
229,3.9
231,3.9
271,9.21
292,9.21
362,3.6
375,3.6
382,3.6
391,3.9
405,3.9
425,3.9
448,9.21
455,9.21
460,9.21
531,3.9
548,3.9
559,3.9
605,9.21
624,3.6
648,3.6
656,3.6
670,3.9
710,3.9
722,3.9
737,9.21
771,9.21
782,9.21
785,9.21
815,3.6
841,3.6
868,3.9
891,3.9
894,3.9
911,3.9
918,3.9
936,9.21
944,9.21
953,9.21
977,3.6
988,3.6
1013,3.6
1042,3.9
1051,3.9
1054,3.9
1092,9.21
1107,9.21
1112,9.21
1120,9.21
1166,3.6
1259,9.21
1273,9.21
1283,9.21
1288,9.21
1302,9.21
1308,3.6
1315,3.6
1316,3.6
1330,3.6
1342,3.6
1359,3.6
1391,3.9
1404,3.9
1410,3.9
1412,3.9
1413,3.9
1419,3.9
1422,3.9
1431,3.9
1458,9.21
1505,3.6
1509,3.6
1523,3.6
1548,3.6
1559,3.6
1577,3.9
1603,3.9
1630,9.21
1637,9.21
1647,9.21
1677,3.6
1680,3.6
1681,3.6
1700,3.6
1703,3.6
1713,3.9
1726,3.9
1777,3.6
1818,3.6
1861,3.9
1864,3.9
1875,3.9
1946,9.21
1952,3.6
1953,3.6
1957,3.6
1964,3.6
1976,3.6
1977,3.6
1992,3.6
1996,3.6
2046,3.9
2056,3.9
2058,9.21
2073,9.21
2083,9.21
2115,4.0
2118,4.0
2158,3.9
2188,3.9
2191,3.9
2216,9.8
2250,9.8
2278,4.0
2300,4.0
2337,3.9
2357,3.9
2371,3.9
2394,9.8
2443,4.0
2453,4.0
2469,4.0
2482,4.0
2491,4.0
2498,3.9
2507,3.9
2511,3.9
2549,9.8
2556,9.8
2559,9.8
2560,9.8
2562,9.8
2600,4.0
2614,4.0
2674,3.9
2700,9.8
2707,9.8
2736,4.0
2773,4.0
2774,4.0
2776,4.0
2784,4.0
2796,4.3
2824,4.3
2847,4.3
2862,9.8
2878,9.8
2879,9.8
2890,9.8
2904,4.0
2906,4.0
2909,4.0
2924,4.0
2948,4.0
2959,4.3
2972,4.3
2990,4.3
2991,4.3
3058,4.0
3062,4.0
3106,4.3
3109,4.3
3139,9.8
3147,9.8
3218,4.0
3220,4.0
3222,4.0
3226,4.0
3227,4.0
3231,4.0
3277,4.3
3298,9.8
3301,9.8
3310,9.8
3319,9.8
3338,4.0
3349,4.0
3362,4.0
3368,4.0
3369,4.0
3387,4.3
3405,4.3
3426,4.3
3428,4.3
3430,4.3
3435,4.3
3436,4.3
3469,9.8
3489,4.0
3510,4.0
3535,4.3
3585,9.8
3592,9.8
3593,9.8
3598,9.8
3642,4.0
3657,4.0
3674,4.0
3683,4.0
3687,4.3
3697,4.3
3698,4.3
3706,4.3
3739,4.3
3747,9.9
3776,9.9
3792,9.9
3799,4.0
3837,4.0
3844,4.0
3863,4.3
3870,4.3
3899,4.3
3902,9.9
3922,9.9
3934,9.9
3937,9.9
3955,9.9
3961,9.9
3997,3.86
4006,3.86
4007,3.86
4024,3.86
4035,4.3
4046,4.3
4053,4.3
4060,4.3
4080,4.3
4117,9.9
4119,9.9
4162,3.86
4165,3.86
4166,3.86
4172,3.86
4182,3.86
4189,3.86
4193,3.86
4209,4.3
4210,4.3
4224,4.3
4232,4.3
4281,9.9
4290,3.86
4294,3.86
4303,3.86
4321,3.86
4365,3.86
4379,4.3
